School_ID,Pk_2_Literacy,Pk_2_Math,Gr3_5_Grade_Level_Math,Gr3_5_Grade_Level_Read,Gr3_5_Keep_Pace_Read,Gr3_5_Keep_Pace_Math,Gr6_8_Grade_Level_Math,Gr6_8_Grade_Level_Read,Gr6_8_Keep_Pace_Math,Gr6_8_Keep_Pace_Read,Gr_8_Explore_Math,Gr_8_Explore_Read,Students_Taking_Algebra,Students_Passing_Algebra,_9th_Grade_EXPLORE_2009,_9th_Grade_EXPLORE_2010,_10th_Grade_PLAN_2009,_10th_Grade_PLAN_2010,Net_Change_EXPLORE_and_PLAN,_11th_Grade_Average_ACT_2011,Net_Change_PLAN_and_ACT
400018,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,12,12,14.3,12.9,0.9,14.4,0.1
609674,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,12.5,12.6,13.8,13.2,0.7,14.3,0.5
609676,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,12.8,12.7,13.9,13.8,1,14.7,0.8
609678,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,19.6,20.3,21.3,21.1,1.5,24.8,3.5
609679,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,15.5,15.1,16.3,16.2,0.7,17.9,1.6
609680,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,21.2,21.8,23.1,23.2,2,27,3.9
609682,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,11.8,12,13.1,12.8,1,14,0.9
609691,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,13.3,12.8,14.1,14.2,0.9,15.4,1.3
609692,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,14.3,14.1,15.3,14.8,0.5,16.2,0.9
609693,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,16.1,16.9,NDA,17.1,1,NDA,NDA
609694,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,14.6,13.8,14.7,15,0.4,15.8,1.1
609695,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,13.8,13.9,14.9,14.8,1,16.7,1.8
609698,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,13.4,13.3,14.3,14.3,0.9,15.2,0.9
609702,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,12,11.9,13.2,13.6,1.6,14,0.8
609704,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,12.6,12.9,14.4,13.9,1.3,16,1.6
609705,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,12,12.1,12.9,13.3,1.3,14,1.1
609707,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,11.6,11,12.7,12.7,1.1,13.6,0.9
609708,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,13,12.7,14.1,13.7,0.7,15.3,1.2
609709,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,12.4,12,13.8,13.6,1.2,14.1,0.3
609710,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,16,40,100,40,13.2,12.9,14.1,13.7,0.5,14.7,0.6
609711,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,12.2,11.9,13.1,13.4,1.2,14.4,1.3
609712,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,11.5,11.2,12.9,12.4,0.9,14.1,1.2
609713,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,13,12.8,14.4,14.1,1.1,15.6,1.2
609715,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,13.4,13.4,15.1,14.6,1.2,17.1,2
609716,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,12.8,12.2,13.8,13.8,1,14.9,1.1
609718,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,14.8,14.1,15.1,15.6,0.8,16.4,1.3
609719,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,15.3,15.8,16.1,16.7,1.4,17.8,1.7
609720,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,19.1,19.5,19.9,20.1,1,23.4,3.5
609722,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,12.2,11.9,13.3,13,0.8,13.8,0.5
609723,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,11.7,11.8,13.4,13.2,1.5,14.6,1.2
609724,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,14.5,14.4,15,15.4,0.9,15.9,0.9
609725,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,60,80,98.5,64.1,14.7,14.6,15.6,15.9,1.2,17.8,2.2
609726,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,18,18.2,18.7,18.7,0.7,21.5,2.8
609727,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,11.5,12.8,13.4,12.9,1.4,15,1.6
609728,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,12.9,13.4,14.3,14,1.1,15.7,1.4
609729,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,13.1,12.9,14.3,14,0.9,15.6,1.3
609730,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,12.8,14.3,14.3,13.9,1.1,15.8,1.5
609732,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,13,13.8,13.8,14.3,1.3,16.1,2.3
609733,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,12.6,13.2,13.8,13.5,0.9,15.4,1.6
609734,NDA,NDA,NDA,NDA,NDA,NDA,91.8,93.6,41.3,59.8,71.9,88.4,74.4,60,14.8,15.7,15.9,16.4,1.6,17.9,2
609735,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,11.6,12,12.9,12.9,1.3,13.5,0.6
609736,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,11.6,11.7,13,12.9,1.3,14,1
609737,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,15.9,15.7,17.3,16.7,0.8,20.4,3.1
609738,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,17.7,18,18.6,19,1.3,21.6,3
609739,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,13.4,13.6,14.3,14.1,0.7,15.5,1.2
