School_ID,Name_of_School,School_Type,Network_Manager,Collaborative_Name,Track_Schedule,General_Services_Route,Community_Area_Number
400018,Austin Business and Entrepreneurship Academy High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Non_Standard,36,25
609674,Chicago Vocational Career Academy High School,HS,South Side High School Network,SOUTH SIDE COLLABORATIVE,Standard,47,45
609676,Paul Laurence Dunbar Career Academy High School,HS,South Side High School Network,SOUTH SIDE COLLABORATIVE,Standard,40,35
609678,William Jones College Preparatory High School,HS,South Side High School Network,SOUTH SIDE COLLABORATIVE,Standard,38,32
609679,Charles Allen Prosser Career Academy High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,29,19
609680,Walter Payton College Preparatory High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,33,8
609682,Ellen H Richards Career Academy High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,42,61
609691,North-Grand High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,34,23
609692,Neal F Simeon Career Academy High School,HS,South Side High School Network,SOUTH SIDE COLLABORATIVE,Standard,45,44
609693,George Westinghouse High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,34,23
609694,John Hancock College Preparatory High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Standard,44,62
609695,Roald Amundsen High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,31,4
609698,William J Bogan High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Standard,44,70
609702,Richard T Crane Technical Preparatory High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,38,28
609704,David G Farragut Career Academy High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,37,30
609705,Christian Fenger Academy High School,HS,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,48,49
609707,Paul Robeson High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,45,68
609708,Edwin G Foreman High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,29,15
609709,Gage Park High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,43,63
609710,John M Harlan Community Academy High School,HS,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,Standard,48,49
609711,William Rainey Harper High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,43,67
609712,Emil G Hirsch Metropolitan High School,HS,South Side High School Network,SOUTH SIDE COLLABORATIVE,Track_E,46,69
609713,Hyde Park Academy High School,HS,South Side High School Network,SOUTH SIDE COLLABORATIVE,Standard,46,42
609715,Thomas Kelly High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Standard,39,58
609716,Kelvyn Park High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,29,20
609718,John F Kennedy High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Standard,44,56
609719,Lake View High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,33,6
609720,Albert G Lane Technical High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,35,5
609722,Manley Career Academy High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,37,27
609723,John Marshall Metropolitan High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,38,27
609724,Stephen T Mather High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,2
609725,Morgan Park High School,HS,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,49,75
609726,Gwendolyn Brooks College Preparatory Academy High School,HS,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,Standard,48,49
609727,Wendell Phillips Academy High School,HS,AUSL Schools,SOUTH SIDE COLLABORATIVE,Track_E,40,35
609728,Theodore Roosevelt High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,31,14
609729,Carl Schurz High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,29,16
609730,Nicholas Senn High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,77
609732,Charles P Steinmetz Academic Centre High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,30,19
609733,Roger C Sullivan High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,1
609734,William Howard Taft High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,30,10
609735,Edward Tilden Career Community Academy High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,42,61
609736,Dyett High School,HS,South Side High School Network,SOUTH SIDE COLLABORATIVE,Track_E,42,40
609737,Friedrich W von Steuben Metropolitan Science High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,31,13
609738,Lincoln Park High School,HS,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,33,7
609739,George Washington High School,HS,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,Standard,47,52
609740,Wells Community Academy High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,35,24
609741,Gurdon S Hubbard High School,HS,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,Standard,44,65
