School_ID,Phone_Number,Link
400018,(773) 534-6316,
609674,(773) 535-6100,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609674.pdf
609676,(773) 534-9000,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609676.pdf
609678,(773) 534-8600,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609678.pdf
609679,(773) 534-3200,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609679.pdf
609680,(773) 534-0034,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609680.pdf
609682,(773) 535-4945,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609682.pdf
609691,(773) 534-8520,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609691.pdf
609692,(773) 535-3200,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609692.pdf
609693,(773) 534-6400,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609693.pdf
609694,(773) 535-2410,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609694.pdf
609695,(773) 534-2320,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609695.pdf
609698,(773) 535-2180,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609698.pdf
609702,(773) 534-7550,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609702.pdf
609704,(773) 534-1300,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609704.pdf
609705,(773) 535-5430,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609705.pdf
609707,(773) 535-3800,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609707.pdf
609708,(773) 534-3400,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609708.pdf
609709,(773) 535-9230,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609709.pdf
609710,(773) 535-5400,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609710.pdf
609711,(773) 535-9150,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609711.pdf
609712,(773) 535-3100,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609712.pdf
609713,(773) 535-0880,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609713.pdf
609715,(773) 535-4900,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609715.pdf
609716,(773) 534-4200,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609716.pdf
609718,(773) 535-2325,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609718.pdf
609719,(773) 534-5440,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609719.pdf
609720,(773) 534-5400,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609720.pdf
609722,(773) 534-6900,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609722.pdf
609723,(773) 534-6455,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609723.pdf
609724,(773) 534-2350,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609724.pdf
609725,(773) 535-2550,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609725.pdf
609726,(773) 535-9930,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609726.pdf
609727,(773) 535-1603,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609727.pdf
609728,(773) 534-5000,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609728.pdf
609729,(773) 534-3420,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609729.pdf
