School_ID,Family_Involvement_Icon,Family_Involvement_Score,Parent_Engagement_Icon,Parent_Engagement_Score,Parent_Environment_Icon,Parent_Environment_Score
400018,NDA,NDA,NDA,NDA,NDA,NDA
609674,Average,43,NDA,NDA,NDA,NDA
609676,Average,57,NDA,NDA,NDA,NDA
609678,NDA,NDA,NDA,NDA,NDA,NDA
609679,Average,47,Weak,46,Weak,45
609680,NDA,NDA,NDA,NDA,NDA,NDA
609682,Weak,23,Weak,43,Average,47
609691,NDA,NDA,NDA,NDA,NDA,NDA
609692,NDA,NDA,NDA,NDA,NDA,NDA
609693,Strong,72,Strong,54,Strong,60
609694,Average,44,Average,50,Weak,44
609695,Average,44,Weak,43,Weak,41
609698,NDA,NDA,Weak,41,Weak,38
609702,NDA,NDA,Average,47,Weak,46
609704,NDA,NDA,NDA,NDA,NDA,NDA
609705,Weak,28,NDA,NDA,NDA,NDA
609707,NDA,NDA,NDA,NDA,NDA,NDA
609708,NDA,NDA,NDA,NDA,NDA,NDA
609709,Average,43,NDA,NDA,NDA,NDA
609710,NDA,NDA,NDA,NDA,NDA,NDA
609711,Weak,32,Average,49,Average,53
609712,Average,46,NDA,NDA,NDA,NDA
609713,Weak,39,NDA,NDA,NDA,NDA
609715,Average,53,NDA,NDA,NDA,NDA
609716,Weak,28,NDA,NDA,NDA,NDA
609718,Weak,30,NDA,NDA,NDA,NDA
609719,NDA,NDA,Average,49,Weak,43
609720,NDA,NDA,NDA,NDA,NDA,NDA
609722,Weak,39,NDA,NDA,NDA,NDA
609723,Average,52,NDA,NDA,NDA,NDA
609724,Average,44,NDA,NDA,NDA,NDA
609725,NDA,NDA,NDA,NDA,NDA,NDA
609726,NDA,NDA,Average,47,Average,49
609727,Strong,71,NDA,NDA,NDA,NDA
609728,NDA,NDA,NDA,NDA,NDA,NDA
609729,Weak,36,NDA,NDA,NDA,NDA
609730,NDA,NDA,NDA,NDA,NDA,NDA
609732,Weak,35,NDA,NDA,NDA,NDA
609733,Average,44,Weak,44,Weak,45
609734,NDA,NDA,NDA,NDA,NDA,NDA
609735,Average,57,Average,51,Average,47
609736,Very Weak,18,NDA,NDA,NDA,NDA
609737,Weak,39,NDA,NDA,NDA,NDA
609738,Strong,61,NDA,NDA,NDA,NDA
609739,Average,53,NDA,NDA,NDA,NDA
609740,Average,49,NDA,NDA,NDA,NDA
609741,NDA,NDA,NDA,NDA,NDA,NDA
609744,Very Strong,99,Strong,62,Strong,59
609745,Average,52,Strong,63,Strong,60
609746,NDA,NDA,NDA,NDA,NDA,NDA
609749,NDA,NDA,Strong,57,Strong,62
609751,NDA,NDA,Strong,56,Average,52
609753,Strong,77,Average,52,Strong,55
609754,NDA,NDA,NDA,NDA,NDA,NDA
609755,Very Strong,80,Average,53,Average,50
609756,Weak,35,NDA,NDA,NDA,NDA
609759,Weak,31,NDA,NDA,NDA,NDA
609760,NDA,NDA,NDA,NDA,NDA,NDA
609761,Average,52,NDA,NDA,NDA,NDA
609762,Average,50,NDA,NDA,NDA,NDA
609764,Average,53,NDA,NDA,NDA,NDA
609766,Strong,72,Strong,63,Strong,57
609768,Average,51,NDA,NDA,NDA,NDA
609769,Very Strong,82,Average,53,Strong,58
609772,Average,50,Average,53,Average,53
609773,NDA,NDA,Strong,56,Average,47
609774,Strong,66,Strong,60,Weak,41
609775,Weak,37,Weak,46,Average,48
609777,NDA,NDA,Average,53,Average,51
609779,Average,57,NDA,NDA,NDA,NDA
609780,Very Weak,17,Average,50,Average,50
609781,Strong,76,NDA,NDA,NDA,NDA
609782,Strong,73,Strong,61,Average,47
609786,Weak,24,Weak,46,Weak,45
609788,NDA,NDA,Strong,69,Average,51
609789,Average,49,Average,51,Average,49
609790,Average,42,Average,51,Average,49
609791,Average,50,Average,47,Average,49
609792,Weak,36,Average,52,Average,52
609793,Weak,37,NDA,NDA,NDA,NDA
609794,NDA,NDA,Strong,55,Strong,57
609795,NDA,NDA,Average,47,Average,51
609796,NDA,NDA,NDA,NDA,NDA,NDA
609797,NDA,NDA,NDA,NDA,NDA,NDA
609798,Strong,63,Average,53,Average,52
609799,Very Strong,88,NDA,NDA,NDA,NDA
609800,Average,46,Average,47,Weak,45
609803,NDA,NDA,Weak,40,Weak,46
609804,Average,50,Average,50,Average,49
609805,Weak,29,Average,52,Average,50
609806,Weak,35,Average,49,Strong,54
609807,NDA,NDA,Weak,46,Average,51
609808,NDA,NDA,Average,47,Average,49
609809,Average,47,NDA,NDA,NDA,NDA
609810,NDA,NDA,Average,51,Average,48
609811,NDA,NDA,Weak,41,Weak,42
609812,Strong,73,Weak,46,Average,49
609813,Very Weak,16,Average,48,Weak,46
609815,Average,57,Average,50,Average,48
609817,Average,56,Average,50,Average,49
609818,NDA,NDA,Average,47,Average,49
609819,NDA,NDA,Average,48,Average,48
609820,NDA,NDA,Strong,59,Average,49
609821,Strong,77,Strong,54,Average,47
609826,Weak,24,Weak,46,Average,48
609827,NDA,NDA,Average,48,Average,47
609828,Strong,66,Strong,56,Average,49
609829,Average,55,Average,50,Weak,45
609830,NDA,NDA,Average,47,Strong,55
609832,Strong,61,Average,49,Weak,45
609833,Weak,31,Weak,44,Average,47
609834,Average,43,Average,47,Average,50
609835,NDA,NDA,Weak,46,Weak,46
609836,Strong,64,Strong,66,Average,53
609837,Average,51,Average,49,Average,49
609839,NDA,NDA,Average,48,Average,47
609842,Weak,36,Average,50,Average,51
609844,Average,49,Weak,46,Weak,46
609845,NDA,NDA,Average,52,Strong,57
609848,NDA,NDA,Average,49,Weak,46
609849,Strong,67,Average,52,Weak,46
609850,NDA,NDA,Average,52,Average,52
609851,Strong,76,NDA,NDA,NDA,NDA
609852,Strong,65,Average,50,Average,52
609853,Weak,28,NDA,NDA,NDA,NDA
609854,Very Strong,99,Average,49,Average,49
609855,Average,48,Average,52,Average,53
609856,Weak,39,NDA,NDA,NDA,NDA
609857,Average,43,Average,49,Average,48
609859,Average,41,NDA,NDA,NDA,NDA
609861,Strong,61,Average,52,Weak,46
609862,Average,43,Average,50,Average,51
