School_ID,College_Eligibility,Graduation_Rate,College_Enrollment_Rate,College_Enrollment_number_of_students,Freshman_on_Track_Rate
400018,12.2,65.6,51.3,316,NDA
609674,7,49.5,54,833,44.1
609676,6.9,61.7,51.5,1456,65.7
609678,83.3,90.1,86.9,871,92.8
609679,27.7,78.7,58,1415,79.4
609680,96.4,96.9,82.4,881,90.7
609682,5.5,57.3,43.1,473,63.5
609691,15.8,69.7,41.3,883,81.3
609692,14.8,75.2,74,1535,68.5
609693,NDA,NDA,NDA,828,90.5
609694,22.6,56.1,45.9,967,87.4
609695,16,64.6,49.1,1532,72.2
609698,13.1,52.5,50,1656,67.1
609702,3.7,48,32.6,478,40.9
609704,13.4,43.2,31.3,1456,68.6
609705,11.3,34.8,36.7,688,68.2
609707,2.9,40.6,42.2,733,53.3
609708,12.5,59.7,40.9,1716,75.6
609709,7.9,52.8,40.3,1052,46
609710,5.9,47.9,55.7,1245,64.4
609711,5.9,37,40.3,621,64.2
609712,10.8,36.2,45.1,458,69.5
609713,11.1,51.1,57.6,1518,63.7
609715,22.1,67.4,46.4,2883,65.6
609716,16.7,54.1,35,1252,56.9
609718,24.4,53.3,52.9,1589,59.7
609719,36.6,81.4,62.8,1500,87.3
609720,67.9,92.2,79.8,4368,90.7
609722,6.7,49,51.9,599,59.3
609723,6.5,36.8,45.2,726,55.2
609724,24.6,56.2,57.4,1657,59
609725,33.6,80,78.5,1584,73.3
609726,51.1,88.1,87.9,783,90.3
609727,2.5,40.3,42.6,590,32.1
609728,13.7,59.4,42.9,1490,61.2
609729,9.7,62.1,40.4,2366,61.6
609730,17.5,40.1,54.4,1053,79.8
609732,16.3,56.7,47,1890,70.3
609733,14.8,39.3,52.1,826,68.6
609734,32.3,67.4,62.2,2922,77.3
609735,10.5,41.1,37,461,86.5
609736,3.3,33.7,51,318,37.1
609737,34.6,88.2,78.5,1636,76.8
609738,53.6,77.9,75.5,2342,74.4
609739,14,71.6,50.9,1524,78.6
609740,7.2,59.3,43.8,633,61.3
609741,30.1,57.2,51.3,1672,64.5
609744,66.7,0,NDA,298,NDA
609745,40,71.7,NDA,201,NDA
609746,26.8,69.5,79.7,1852,70.3
609749,98,97.6,90.7,1053,95.9
609751,31.9,75.4,85.1,915,91.1
609753,30.7,70.7,79.6,579,88.1
609754,24.4,83.6,69.3,483,88.1
609755,89,93.9,88.3,2166,96.7
609756,22.9,76.1,61.3,3320,61
609759,12.5,49.5,41.5,1016,58.9
609760,21.2,78.7,60.5,532,79.5
609761,10.6,42.8,44,621,76.2
609762,8.3,60.3,54.9,1226,65.3
609764,14.8,56.2,48.8,1683,71.1
609766,55.6,65.3,NDA,203,NDA
609768,16.7,55.2,58.2,561,63.6
609769,18.8,10.3,NDA,137,NDA
609772,NDA,NDA,NDA,928,NDA
609773,NDA,NDA,NDA,432,NDA
609774,NDA,NDA,NDA,481,NDA
609775,NDA,NDA,NDA,527,NDA
609777,NDA,NDA,NDA,365,NDA
609779,NDA,NDA,NDA,1509,NDA
609780,NDA,NDA,NDA,586,NDA
609781,NDA,NDA,NDA,274,NDA
609782,NDA,NDA,NDA,580,NDA
609786,NDA,NDA,NDA,398,NDA
609788,NDA,NDA,NDA,274,NDA
609789,NDA,NDA,NDA,800,NDA
609790,NDA,NDA,NDA,602,NDA
609791,NDA,NDA,NDA,369,NDA
609792,NDA,NDA,NDA,1015,NDA
609793,NDA,NDA,NDA,464,NDA
609794,NDA,NDA,NDA,269,NDA
609795,NDA,NDA,NDA,297,NDA
609796,NDA,NDA,NDA,1181,NDA
609797,NDA,NDA,NDA,411,NDA
609798,NDA,NDA,NDA,672,NDA
609799,NDA,NDA,NDA,998,NDA
609800,NDA,NDA,NDA,504,NDA
609803,NDA,NDA,NDA,923,NDA
609804,NDA,NDA,NDA,752,NDA
609805,NDA,NDA,NDA,538,NDA
609806,NDA,NDA,NDA,775,NDA
609807,NDA,NDA,NDA,658,NDA
609808,NDA,NDA,NDA,525,NDA
609809,NDA,NDA,NDA,455,NDA
609810,NDA,NDA,NDA,1004,NDA
609811,NDA,NDA,NDA,361,NDA
609812,NDA,NDA,NDA,217,NDA
609813,NDA,NDA,NDA,310,NDA
609815,NDA,NDA,NDA,783,NDA
609817,NDA,NDA,NDA,864,NDA
609818,NDA,NDA,NDA,1139,NDA
609819,NDA,NDA,NDA,244,NDA
609820,NDA,NDA,NDA,572,NDA
609821,NDA,NDA,NDA,286,NDA
609826,NDA,NDA,NDA,525,NDA
609827,NDA,NDA,NDA,766,NDA
609828,NDA,NDA,NDA,348,NDA
609829,NDA,NDA,NDA,510,NDA
609830,NDA,NDA,NDA,658,NDA
609832,NDA,NDA,NDA,705,NDA
609833,NDA,NDA,NDA,291,NDA
609834,NDA,NDA,NDA,842,NDA
609835,NDA,NDA,NDA,828,NDA
609836,NDA,NDA,NDA,784,NDA
609837,NDA,NDA,NDA,730,NDA
609839,NDA,NDA,NDA,537,NDA
609842,NDA,NDA,NDA,1222,NDA
609844,NDA,NDA,NDA,371,NDA
609845,NDA,NDA,NDA,546,NDA
609848,NDA,NDA,NDA,285,NDA
609849,NDA,NDA,NDA,358,NDA
609850,NDA,NDA,NDA,611,NDA
609851,NDA,NDA,NDA,288,NDA
609852,NDA,NDA,NDA,451,NDA
609853,NDA,NDA,NDA,504,NDA
609854,NDA,NDA,NDA,269,NDA
609855,NDA,NDA,NDA,279,NDA
609856,NDA,NDA,NDA,633,NDA
609857,NDA,NDA,NDA,688,NDA
609859,NDA,NDA,NDA,1139,NDA
609861,NDA,NDA,NDA,588,NDA
609862,NDA,NDA,NDA,554,NDA
609863,NDA,NDA,NDA,309,NDA
609864,NDA,NDA,NDA,482,NDA
609865,NDA,NDA,NDA,753,NDA
609866,NDA,NDA,NDA,668,NDA
609867,NDA,NDA,NDA,709,NDA
609869,NDA,NDA,NDA,339,NDA
609870,NDA,NDA,NDA,631,NDA
609871,NDA,NDA,NDA,204,NDA
609872,NDA,NDA,NDA,426,NDA
609873,NDA,NDA,NDA,298,NDA
609874,NDA,NDA,NDA,786,NDA
609875,NDA,NDA,NDA,622,NDA
609876,NDA,NDA,NDA,1032,NDA
609879,NDA,NDA,NDA,1032,NDA
609880,NDA,NDA,NDA,289,NDA
609881,NDA,NDA,NDA,414,NDA
609883,NDA,NDA,NDA,551,NDA
609884,NDA,NDA,NDA,843,NDA
609885,NDA,NDA,NDA,357,NDA
609887,NDA,NDA,NDA,652,NDA
609888,NDA,NDA,NDA,434,NDA
609891,NDA,NDA,NDA,306,NDA
