School_ID,ISAT_Exceeding_Math,ISAT_Exceeding_Reading,ISAT_Value_Add_Math,ISAT_Value_Add_Read,ISAT_Value_Add_Color_Math,ISAT_Value_Add_Color_Read
400018,,,,,NDA,NDA
609674,,,,,NDA,NDA
609676,,,,,NDA,NDA
609678,,,,,NDA,NDA
609679,,,,,NDA,NDA
609680,,,,,NDA,NDA
609682,,,,,NDA,NDA
609691,,,,,NDA,NDA
609692,,,,,NDA,NDA
609693,,,,,NDA,NDA
609694,,,,,NDA,NDA
609695,,,,,NDA,NDA
609698,,,,,NDA,NDA
609702,,,,,NDA,NDA
609704,,,,,NDA,NDA
609705,,,,,NDA,NDA
609707,,,,,NDA,NDA
609708,,,,,NDA,NDA
609709,,,,,NDA,NDA
609710,17.8,15.6,-2.9,-0.8,Red,Yellow
609711,,,,,NDA,NDA
609712,,,,,NDA,NDA
609713,,,,,NDA,NDA
609715,,,,,NDA,NDA
609716,,,,,NDA,NDA
609718,,,,,NDA,NDA
609719,,,,,NDA,NDA
609720,,,,,NDA,NDA
609722,,,,,NDA,NDA
609723,,,,,NDA,NDA
609724,,,,,NDA,NDA
609725,52.0,38.2,-1.8,-1.0,Red,Yellow
609726,,,,,NDA,NDA
609727,,,,,NDA,NDA
609728,,,,,NDA,NDA
609729,,,,,NDA,NDA
609730,,,,,NDA,NDA
609732,,,,,NDA,NDA
609733,,,,,NDA,NDA
609734,80.2,50.6,-3.1,-1.8,Red,Red
609735,,,,,NDA,NDA
609736,,,,,NDA,NDA
609737,,,,,NDA,NDA
609738,,,,,NDA,NDA
609739,,,,,NDA,NDA
609740,,,,,NDA,NDA
609741,,,,,NDA,NDA
609744,,,,,NDA,NDA
609745,,,,,NDA,NDA
609746,69.5,31.0,-1.1,-0.5,Red,Yellow
609749,,,,,NDA,NDA
609751,,,,,NDA,NDA
609753,,,,,NDA,NDA
609754,,,,,NDA,NDA
609755,99.5,77.0,-1.2,-0.8,Red,Yellow
609756,,,,,NDA,NDA
609759,,,,,NDA,NDA
609760,,,,,NDA,NDA
609761,,,,,NDA,NDA
609762,,,,,NDA,NDA
609764,,,,,NDA,NDA
609766,,,,,NDA,NDA
609768,,,,,NDA,NDA
609769,,,,,NDA,NDA
609772,19.3,15.9,0.5,-0.4,Green,Yellow
609773,27.5,27.5,0.2,-0.9,Yellow,Yellow
609774,52.6,46.1,0.4,0.3,Yellow,Yellow
609775,16.4,20.9,-0.8,3.0,Red,Green
609777,10.1,8.7,-0.5,0.3,Yellow,Yellow
609779,30.4,19.5,0.7,-0.2,Green,Yellow
609780,14.5,3.0,-1.9,-1.5,Red,Red
609781,7.6,10.0,-0.3,-2.0,Yellow,Red
609782,45.3,34.8,1.2,1.1,Green,Green
609786,7.9,5.1,1.1,1.2,Green,Green
609788,18.0,15.7,1.9,1.9,Green,Green
609789,15.2,12.4,0.7,0.5,Green,Yellow
609790,8.1,5.7,-0.5,-0.3,Yellow,Yellow
609791,5.0,6.0,-0.1,0.9,Yellow,Yellow
609792,21.7,16.1,-0.8,-0.1,Red,Yellow
609793,22.6,8.9,1.9,-0.2,Green,Yellow
609794,79.0,88.4,1.8,1.6,Green,Green
609795,22.0,15.3,1.2,0.7,Green,Yellow
609796,49.1,41.8,0.2,0.2,Yellow,Yellow
609797,14.3,5.1,0.5,0.5,Yellow,Yellow
609798,27.3,21.4,-0.8,-0.5,Red,Yellow
609799,64.0,57.9,0.0,0.3,Yellow,Yellow
609800,13.7,8.4,0.7,0.1,Green,Yellow
609803,61.3,50.1,0.9,-0.4,Green,Yellow
609804,22.0,17.6,1.1,1.9,Green,Green
609805,9.8,12.2,0.2,0.7,Yellow,Yellow
609806,6.3,4.3,1.2,-1.2,Green,Red
609807,9.4,9.4,-1.0,0.0,Red,Yellow
609808,11.6,1.9,0.5,-1.5,Yellow,Red
609809,18.4,8.2,-1.6,-1.0,Red,Red
609810,27.8,18.9,-0.3,-0.9,Yellow,Red
609811,8.2,5.9,2.4,0.6,Green,Yellow
609812,10.2,3.2,1.1,-0.9,Green,Yellow
609813,12.9,8.8,1.5,-0.4,Green,Yellow
609815,5.6,7.6,-0.2,0.0,Yellow,Yellow
609817,26.6,23.7,-1.7,-0.4,Red,Yellow
609818,20.6,11.3,-0.2,0.2,Yellow,Yellow
609819,7.9,4.3,-1.4,-1.9,Red,Red
609820,54.2,53.3,1.3,2.1,Green,Green
609821,36.5,22.0,1.3,0.6,Green,Yellow
609826,8.0,6.2,-0.8,-0.6,Red,Yellow
609827,15.5,14.3,0.0,-0.4,Yellow,Yellow
609828,29.1,22.2,0.4,0.6,Yellow,Yellow
609829,25.9,16.0,0.1,-0.1,Yellow,Yellow
609830,8.8,5.4,-0.3,-0.6,Yellow,Yellow
609832,23.1,24.8,-1.2,-1.1,Red,Red
609833,10.9,6.8,0.9,-0.1,Green,Yellow
609834,11.3,11.4,0.6,1.5,Green,Green
609835,10.3,5.9,-1.0,-1.4,Red,Red
609836,47.4,34.2,0.3,0.1,Yellow,Yellow
609837,21.4,20.4,-1.2,0.1,Red,Yellow
609839,11.8,9.1,-0.6,0.6,Red,Yellow
609842,19.4,12.2,-0.4,0.2,Yellow,Yellow
609844,6.8,5.5,-0.2,-1.2,Yellow,Red
609845,9.4,8.0,-0.8,-0.6,Red,Yellow
609848,7.7,7.2,-1.5,-0.8,Red,Yellow
609849,24.9,24.5,-0.6,-0.8,Yellow,Yellow
609850,26.9,16.3,0.2,-0.2,Yellow,Yellow
609851,2.1,4.9,-0.7,1.2,Yellow,Green
609852,19.6,17.6,0.4,1.0,Yellow,Green
609853,17.1,11.0,-0.6,0.1,Yellow,Yellow
609854,57.6,47.6,3.1,4.9,Green,Green
609855,13.3,5.7,0.7,0.7,Yellow,Yellow
609856,17.1,12.3,-0.3,-0.2,Yellow,Yellow
609857,23.4,15.8,-0.3,-0.5,Yellow,Yellow
609859,33.5,21.8,0.6,-0.5,Green,Yellow
609861,27.7,26.7,-0.7,0.5,Red,Yellow
609862,16.7,5.7,1.0,-0.1,Green,Yellow
609863,42.0,30.5,1.1,1.6,Green,Green
609864,6.4,4.6,0.8,0.6,Green,Yellow
609865,16.9,7.1,0.3,-1.2,Yellow,Red
609866,45.3,39.0,-0.7,0.9,Yellow,Yellow
609867,9.6,10.7,0.5,1.3,Yellow,Green
609869,12.6,7.5,0.5,0.2,Yellow,Yellow
609870,13.6,8.2,0.1,0.3,Yellow,Yellow
609871,,,,,NDA,NDA
