School_ID,Leaders_Icon,Leaders_Score
400018,NDA,NDA
609674,Weak,34
609676,Average,57
609678,NDA,NDA
609679,Weak,37
609680,NDA,NDA
609682,Average,42
609691,NDA,NDA
609692,NDA,NDA
609693,Very Strong,86
609694,Weak,37
609695,Weak,27
609698,NDA,NDA
609702,NDA,NDA
609704,NDA,NDA
609705,Average,46
609707,NDA,NDA
609708,NDA,NDA
609709,Weak,38
609710,NDA,NDA
609711,Weak,31
609712,Average,52
609713,Weak,35
609715,Strong,61
609716,Very Weak,19
609718,Weak,22
609719,NDA,NDA
609720,NDA,NDA
609722,Very Weak,19
609723,Average,49
609724,Average,50
609725,NDA,NDA
609726,NDA,NDA
609727,Very Strong,80
609728,NDA,NDA
609729,Weak,30
609730,NDA,NDA
609732,Weak,36
609733,Average,42
609734,NDA,NDA
609735,Average,54
609736,Weak,35
609737,Weak,26
609738,Average,45
609739,Average,52
609740,Strong,65
609741,NDA,NDA
609744,Strong,75
609745,Average,47
609746,NDA,NDA
609749,NDA,NDA
609751,NDA,NDA
609753,Average,57
609754,NDA,NDA
609755,Average,52
609756,Weak,33
609759,Weak,28
609760,NDA,NDA
609761,Average,48
609762,Average,53
609764,Average,49
609766,Strong,67
609768,Average,56
609769,Strong,63
609772,Average,47
609773,NDA,NDA
609774,Average,56
609775,Weak,27
609777,NDA,NDA
609779,Average,53
609780,Weak,26
609781,Very Strong,81
609782,Strong,60
609786,Weak,32
609788,NDA,NDA
609789,Weak,34
609790,Strong,77
609791,Average,52
609792,Weak,25
609793,Average,42
609794,NDA,NDA
609795,NDA,NDA
609796,NDA,NDA
609797,NDA,NDA
609798,Average,49
609799,Average,51
609800,Average,55
609803,NDA,NDA
609804,Average,45
609805,Average,45
609806,Average,52
609807,NDA,NDA
609808,NDA,NDA
609809,Weak,30
609810,NDA,NDA
609811,NDA,NDA
609812,Strong,74
609813,Weak,20
609815,Average,53
609817,Average,44
609818,NDA,NDA
609819,NDA,NDA
609820,NDA,NDA
609821,Strong,65
609826,Very Weak,17
609827,NDA,NDA
609828,Average,53
609829,Strong,71
609830,NDA,NDA
609832,Average,59
609833,Weak,28
609834,Average,45
609835,NDA,NDA
609836,Average,49
609837,Average,42
609839,NDA,NDA
609842,Weak,26
609844,Average,56
609845,NDA,NDA
609848,NDA,NDA
609849,Strong,66
609850,NDA,NDA
609851,Very Strong,88
609852,Average,56
609853,Weak,25
609854,Very Strong,97
609855,Strong,72
609856,Weak,24
609857,Average,51
609859,Average,41
609861,Weak,38
609862,Average,52
609863,NDA,NDA
609864,NDA,NDA
609865,Very Weak,17
609866,Strong,65
609867,NDA,NDA
609869,Average,49
609870,NDA,NDA
609871,NDA,NDA
609872,NDA,NDA
609873,Average,45
609874,NDA,NDA
609875,Weak,31
609876,NDA,NDA
609879,Strong,60
609880,Very Strong,99
609881,Strong,63
609883,Very Weak,15
609884,Weak,37
609885,NDA,NDA
609887,NDA,NDA
609888,Strong,77
609891,NDA,NDA
609893,Average,57
609894,Average,43
609895,Strong,75
609896,NDA,NDA
609897,NDA,NDA
609898,Average,42
609899,Weak,26
609900,NDA,NDA
609901,Strong,66
609902,NDA,NDA
609903,Average,49
609904,NDA,NDA
609906,NDA,NDA
609907,NDA,NDA
609908,NDA,NDA
609909,Average,47
609910,Weak,22
609912,Strong,63
609913,Weak,35
609916,Average,42
609917,Weak,39
609918,Weak,21
609919,Average,40
609920,Strong,61
609921,Very Strong,82
609922,Average,45
609924,NDA,NDA
609925,Weak,37
609926,NDA,NDA
609927,Average,50
609928,NDA,NDA
609929,Average,53
609930,NDA,NDA
609932,NDA,NDA
609933,Weak,33
609935,Average,49
609937,Average,51
609938,Weak,29
609939,NDA,NDA
609941,NDA,NDA
609942,Strong,62
609943,Average,57
609944,Strong,69
609945,Strong,65
609947,Weak,30
609949,NDA,NDA
609950,Average,48
609951,NDA,NDA
609952,NDA,NDA
609954,Strong,66
609955,Strong,68
609956,Strong,72
609958,Weak,34
609959,Average,42
609960,Strong,75
609961,NDA,NDA
609963,Average,59
609964,Very Weak,17
609966,NDA,NDA
609967,Average,41
609968,NDA,NDA
609969,NDA,NDA
609971,Average,43
609972,Weak,33
609973,Strong,73
609974,Very Strong,90
609975,NDA,NDA
609976,Average,48
609977,NDA,NDA
609978,Weak,31
609979,NDA,NDA
609981,NDA,NDA
609983,NDA,NDA
609985,Average,58
609986,NDA,NDA
609987,NDA,NDA
609988,Strong,68
609989,Average,48
609990,Average,57
609991,NDA,NDA
609993,Strong,65
609994,NDA,NDA
609995,Strong,65
609996,Average,53
609997,NDA,NDA
610000,Average,59
610002,Strong,67
610003,Strong,66
610004,NDA,NDA
610005,NDA,NDA
610006,Average,43
610009,Average,56
610010,NDA,NDA
610011,Average,55
610012,Weak,20
610013,Very Weak,16
610015,Weak,20
610016,NDA,NDA
610017,NDA,NDA
610018,Strong,61
610019,Average,50
610020,NDA,NDA
610021,NDA,NDA
610022,Average,43
610023,NDA,NDA
610024,Strong,62
610026,NDA,NDA
610027,NDA,NDA
610028,Weak,21
610029,NDA,NDA
610030,NDA,NDA
610031,Very Strong,80
610032,NDA,NDA
610033,Weak,39
610034,NDA,NDA
610036,Weak,30
610037,NDA,NDA
610038,Strong,65
610039,Weak,37
610040,NDA,NDA
610041,Average,44
610043,NDA,NDA
610044,NDA,NDA
610045,Weak,35
610046,NDA,NDA
610047,NDA,NDA
610048,NDA,NDA
610051,NDA,NDA
610052,Weak,31
610053,NDA,NDA
610054,Average,55
610055,NDA,NDA
610056,Average,50
610057,Average,45
610058,NDA,NDA
610059,NDA,NDA
610060,NDA,NDA
610061,Average,52
610062,NDA,NDA
610063,Strong,61
610065,Average,49
610066,NDA,NDA
610067,Strong,67
610068,NDA,NDA
610070,NDA,NDA
610072,Average,46
610073,Very Strong,81
610074,NDA,NDA
610075,NDA,NDA
610076,Weak,34
610077,Weak,35
610078,NDA,NDA
610081,Average,59
610082,NDA,NDA
610083,NDA,NDA
610084,Very Strong,94
610085,NDA,NDA
610086,Very Weak,14
610087,Strong,61
610088,NDA,NDA
610089,NDA,NDA
610090,NDA,NDA
610091,Average,48
610092,NDA,NDA
610093,Average,40
610094,NDA,NDA
610095,Average,41
610096,Strong,68
610097,NDA,NDA
610098,Average,48
610099,Weak,31
610100,NDA,NDA
610101,NDA,NDA
610102,Average,43
610103,NDA,NDA
610104,Weak,32
610105,NDA,NDA
610106,NDA,NDA
610107,Very Strong,92
610108,NDA,NDA
610109,Average,51
610110,NDA,NDA
610111,NDA,NDA
610112,NDA,NDA
610114,Weak,20
610115,Strong,69
610116,NDA,NDA
610117,NDA,NDA
610119,Average,57
610120,Weak,32
610121,NDA,NDA
610122,NDA,NDA
610123,NDA,NDA
610124,NDA,NDA
610125,Average,51
610126,Strong,70
610127,NDA,NDA
610128,NDA,NDA
610129,Weak,32
610130,Average,43
610131,NDA,NDA
610132,Weak,27
610133,NDA,NDA
610134,NDA,NDA
610135,NDA,NDA
610136,NDA,NDA
610137,NDA,NDA
610138,Weak,26
610139,NDA,NDA
610141,NDA,NDA
610142,NDA,NDA
610143,Very Weak,10
610144,NDA,NDA
610145,Strong,60
610146,NDA,NDA
610147,Strong,75
610148,Average,57
610150,NDA,NDA
610152,NDA,NDA
610153,NDA,NDA
610154,Average,41
610155,NDA,NDA
610156,NDA,NDA
610157,Weak,24
610158,NDA,NDA
610159,NDA,NDA
610160,NDA,NDA
610161,NDA,NDA
610163,Very Strong,84
610165,Weak,32
610167,Strong,66
610169,NDA,NDA
610170,Strong,65
610171,NDA,NDA
610172,NDA,NDA
610173,NDA,NDA
610174,NDA,NDA
610175,Weak,37
610176,Average,53
610177,NDA,NDA
610178,NDA,NDA
610179,NDA,NDA
610180,NDA,NDA
610182,Strong,75
610183,Strong,66
610184,Average,52
610185,NDA,NDA
610187,NDA,NDA
610188,Average,51
610189,NDA,NDA
610191,NDA,NDA
610192,NDA,NDA
610193,Average,58
610194,Weak,30
610195,NDA,NDA
610196,Strong,61
610197,Average,53
610198,NDA,NDA
610199,NDA,NDA
610200,NDA,NDA
610201,Average,47
610202,Weak,25
610203,Average,47
610205,NDA,NDA
610206,Very Strong,84
610207,NDA,NDA
610208,Weak,39
610209,Strong,62
610210,NDA,NDA
610212,Average,43
610213,NDA,NDA
610215,Average,49
610216,NDA,NDA
610217,Strong,63
610218,NDA,NDA
610219,Very Strong,80
610220,NDA,NDA
610221,Average,46
610223,Weak,31
610224,Average,57
610225,Weak,20
610226,NDA,NDA
610227,NDA,NDA
610228,NDA,NDA
610229,NDA,NDA
610230,Average,55
610231,Average,59
610232,NDA,NDA
610233,NDA,NDA
610234,NDA,NDA
610235,NDA,NDA
610237,NDA,NDA
610238,Weak,39
610239,Average,50
610240,NDA,NDA
610241,NDA,NDA
610242,Average,41
610243,Strong,79
610244,NDA,NDA
610245,NDA,NDA
610246,NDA,NDA
610248,NDA,NDA
610249,Very Strong,85
610250,NDA,NDA
610251,Strong,62
610252,NDA,NDA
610253,NDA,NDA
610254,Very Weak,4
610256,NDA,NDA
610257,Very Strong,86
610258,NDA,NDA
610263,Weak,32
610264,NDA,NDA
610265,NDA,NDA
610266,NDA,NDA
610268,NDA,NDA
610269,Weak,32
610271,Average,43
610273,NDA,NDA
610274,Strong,63
610276,NDA,NDA
610277,NDA,NDA
610279,NDA,NDA
610280,NDA,NDA
610281,Strong,63
610282,Weak,32
610283,NDA,NDA
610284,NDA,NDA
610285,NDA,NDA
610287,Strong,68
610290,Average,41
610291,NDA,NDA
610293,NDA,NDA
610295,NDA,NDA
610297,Very Weak,16
610298,Average,50
610299,NDA,NDA
610300,Average,47
610304,NDA,NDA
610305,Strong,68
610308,NDA,NDA
610312,Strong,74
610313,Strong,60
610315,NDA,NDA
610316,Weak,34
610317,NDA,NDA
610319,Average,59
610320,NDA,NDA
610321,NDA,NDA
610323,Weak,29
610325,NDA,NDA
610329,NDA,NDA
610334,NDA,NDA
610336,NDA,NDA
610339,Weak,25
610340,Average,56
610342,NDA,NDA
610345,Weak,30
610347,Strong,62
610348,NDA,NDA
610350,NDA,NDA
610352,Very Strong,88
610353,Strong,64
610354,Average,47
610355,NDA,NDA
610357,NDA,NDA
610362,NDA,NDA
610363,NDA,NDA
610364,NDA,NDA
610365,Weak,31
610366,NDA,NDA
610367,Average,51
610368,Strong,62
610369,NDA,NDA
610380,NDA,NDA
610381,Weak,32
610383,Very Strong,81
610384,NDA,NDA
610385,NDA,NDA
610389,NDA,NDA
610390,NDA,NDA
610391,NDA,NDA
610392,Average,49
610394,Average,48
610395,Strong,76
610396,NDA,NDA
610402,NDA,NDA
610405,NDA,NDA
610499,Average,47
610501,NDA,NDA
610502,Average,53
610503,Average,42
610504,NDA,NDA
610506,Strong,74
610513,Average,45
610515,Strong,75
610518,NDA,NDA
610520,Very Strong,83
610521,NDA,NDA
610523,NDA,NDA
610524,NDA,NDA
610529,NDA,NDA
610530,NDA,NDA
610532,Weak,28
610533,NDA,NDA
610534,NDA,NDA
610535,NDA,NDA
610539,Very Strong,83
610541,Strong,74
610542,NDA,NDA
610543,Strong,62
610544,Strong,73
