School_ID,Safety_Icon,Safety_Score,Environment_Icon,Environment_Score,CPS_Performance_Policy_Status,CPS_Performance_Policy_Level,Healthy_Schools_Certified,Adequate_Yearly_Progress_Made,Individualized_Education_Program_Compliance_Rate
400018.0,Weak,38,Average,41,Probation,Level 3,No,,
609674.0,Weak,27,Weak,21,Probation,Level 3,No,,
609676.0,Weak,29,Weak,31,Probation,Level 3,No,,
609678.0,Very Strong,92,Strong,64,Not on Probation,Level 1,No,,
609679.0,Average,59,Average,53,Not on Probation,Level 2,No,,
609680.0,Very Strong,98,Very Strong,80,Not on Probation,Level 1,No,,
609682.0,Weak,30,Weak,32,Probation,Level 2,No,,
609691.0,Average,42,Weak,39,Probation,Level 2,No,,
609692.0,Average,52,Weak,33,Probation,Level 3,No,,
609693.0,Strong,74,Strong,77,Not on Probation,Not Enough Data,No,,
609694.0,Average,51,Average,44,Probation,Level 3,No,,
609695.0,Average,51,Average,43,Probation,Level 3,No,,
609698.0,Weak,20,Very Weak,18,Probation,Level 3,No,,
609702.0,Average,43,Average,50,Probation,Level 3,No,,
609704.0,Average,43,Average,42,Probation,Level 2,No,,
609705.0,Weak,36,Average,41,Probation,Level 3,No,,
609707.0,Weak,29,Weak,33,Probation,Level 3,No,,
609708.0,Weak,26,Weak,28,Probation,Level 3,No,,
609709.0,Very Weak,14,Weak,29,Probation,Level 3,No,,
609710.0,NDA,,NDA,,Probation,Level 3,No,,
609711.0,Weak,22,Weak,39,Probation,Level 2,No,,
609712.0,Very Weak,13,Weak,28,Probation,Level 3,No,,
609713.0,Weak,29,Weak,34,Probation,Level 3,No,,
609715.0,Weak,36,Weak,36,Not on Probation,Level 2,No,,
609716.0,Weak,32,Weak,32,Probation,Level 3,No,,
609718.0,Average,53,Weak,32,Probation,Level 3,No,,
609719.0,Strong,64,Average,52,Not on Probation,Level 2,No,,
609720.0,Very Strong,88,Strong,62,Not on Probation,Level 1,No,,
609722.0,Average,41,Average,43,Probation,Level 3,No,,
609723.0,Average,51,Average,45,Probation,Level 3,No,,
609724.0,Average,58,Average,48,Not on Probation,Level 2,No,,
609725.0,Average,40,Weak,25,Not on Probation,Level 2,No,,
609726.0,Strong,64,Average,44,Not on Probation,Level 1,No,,
609727.0,NDA,,NDA,,Probation,Level 3,No,,
609728.0,Average,42,Average,42,Probation,Level 3,No,,
609729.0,Average,48,Weak,36,Probation,Level 3,No,,
609730.0,Average,48,Average,45,Probation,Level 3,No,,
609732.0,Weak,26,Weak,29,Probation,Level 3,No,,
609733.0,Weak,30,Weak,34,Probation,Level 3,No,,
609734.0,Strong,61,Weak,37,Not on Probation,Level 2,No,,
609735.0,Weak,34,Average,45,Probation,Level 2,No,,
