School_ID,Average_Student_Attendance,Rate_of_Misconducts_per_100_students
400018,76.0,12.4
609674,68.8,33.3
609676,76.9,21.5
609678,93.8,4.5
609679,86.0,9.7
609680,93.4,0.7
609682,90.6,17.3
609691,88.6,15.3
609692,78.6,2.1
609693,93.6,2.0
609694,78.2,7.5
609695,81.1,8.7
609698,75.2,5.8
609702,57.9,19.9
609704,86.1,18.6
609705,74.4,49.8
609707,73.5,26.4
609708,84.3,10.3
609709,72.5,19.5
609710,81.2,21.6
609711,73.0,63.6
609712,84.8,47.1
609713,70.5,18.5
609715,89.3,5.8
609716,74.4,12.9
609718,83.0,22.0
609719,87.7,8.5
609720,96.3,2.1
609722,66.8,19.7
609723,74.1,42.9
609724,87.6,7.6
609725,84.2,11.1
609726,87.1,0.1
609727,63.0,22.0
609728,82.3,9.7
609729,81.2,13.8
609730,81.7,41.3
609732,79.2,30.4
609733,81.6,14.7
609734,89.1,9.8
609735,78.4,13.0
609736,62.5,24.4
609737,87.0,4.0
609738,84.6,9.2
609739,80.2,12.7
609740,74.1,16.9
609741,89.3,4.3
609744,89.8,5.3
609745,85.5,13.1
609746,88.4,5.9
609749,95.7,2.8
609751,92.9,4.4
609753,92.8,5.2
609754,90.3,28.2
609755,94.6,1.2
609756,85.0,9.1
609759,69.6,20.6
609760,91.6,8.9
609761,71.3,23.4
609762,74.6,33.4
609764,83.7,17.2
609766,87.6,3.7
609768,72.2,24.0
609769,86.3,3.7
609772,96.0,5.0
609773,95.2,32.6
609774,96.6,3.7
609775,91.9,32.9
609777,93.9,16.0
609779,96.3,8.1
609780,94.3,5.3
609781,95.2,12.5
609782,96.2,4.5
609786,92.1,52.1
609788,95.6,28.5
609789,95.1,5.6
609790,91.7,25.3
609791,92.1,28.9
609792,96.2,0.2
609793,93.4,6.0
609794,96.6,1.9
609795,93.9,14.4
609796,95.7,7.4
609797,95.4,0.7
609798,95.0,21.3
609799,96.3,6.3
609800,92.5,6.5
609803,96.4,2.1
609804,95.5,10.5
609805,95.0,44.5
609806,92.1,75.9
609807,95.0,94.9
609808,94.9,2.9
609809,94.7,9.2
609810,95.6,6.6
609811,92.2,55.7
609812,92.8,59.0
609813,92.8,14.1
609815,92.9,28.0
609817,95.4,3.9
609818,95.2,9.8
609819,89.3,82.0
609820,96.5,0.7
609821,95.5,29.4
609826,96.3,24.3
609827,94.9,8.9
609828,95.9,4.3
609829,95.6,0.2
609830,91.3,16.6
609832,94.6,51.8
609833,92.7,30.7
609834,96.7,3.2
609835,92.6,153.9
609836,96.1,2.3
609837,94.6,6.2
609839,94.8,27.8
609842,97.6,3.9
609844,91.2,27.0
609845,90.9,15.6
609848,92.9,49.0
609849,94.4,13.8
609850,95.9,6.0
609851,94.4,3.4
609852,95.1,2.9
609853,95.4,18.5
609854,96.9,1.7
609855,86.1,4.0
609856,95.2,6.0
609857,95.0,6.1
609859,95.3,14.8
609861,95.1,8.4
609862,95.1,24.9
609863,95.5,2.4
609864,94.0,26.0
609865,95.6,16.4
609866,95.9,1.4
609867,96.2,5.7
609869,91.8,29.0
609870,94.7,18.1
609871,60.9,0.0
609872,95.9,7.3
609873,92.5,100.5
609874,95.9,2.7
609875,95.6,33.8
609876,95.1,2.4
609879,95.7,35.6
609880,96.2,2.8
609881,93.4,20.3
609883,93.8,39.5
609884,95.5,2.1
609885,90.7,26.3
609887,94.8,32.2
609888,94.4,12.7
609891,91.4,134.8
609893,95.6,10.8
609894,93.8,43.3
609895,95.8,24.0
609896,95.2,0.3
609897,93.8,16.9
609898,95.3,13.1
609899,95.9,9.3
609900,93.8,18.2
609901,96.9,3.4
609902,94.9,22.3
609903,95.3,10.3
609904,93.3,17.4
609906,89.8,30.1
609907,94.7,20.8
609908,92.9,34.0
609909,95.3,2.4
609910,96.1,5.7
609912,94.2,1.7
609913,91.6,47.5
609916,89.9,101.2
609917,93.4,29.0
609918,96.8,10.0
609919,92.9,37.1
609920,95.9,3.3
609921,95.4,2.7
609922,95.3,1.3
609924,93.4,24.5
609925,95.2,4.4
609926,95.9,5.6
609927,93.7,33.6
609928,91.8,40.2
609929,95.1,10.1
609930,94.7,16.8
609932,91.3,4.9
609933,92.1,34.8
609935,95.1,5.9
609937,95.3,10.2
609938,96.1,16.8
609939,91.9,2.1
609941,92.1,43.5
609942,95.8,5.6
609943,93.6,54.2
609944,95.5,2.5
609945,96.1,6.0
609947,92.5,27.4
609949,95.6,5.9
609950,95.8,3.6
609951,95.5,5.4
609952,95.5,3.8
609954,95.2,3.2
609955,95.5,35.4
609956,95.2,5.0
609958,96.6,87.3
609959,98.4,0.3
609960,94.5,9.8
609961,93.9,25.9
609963,95.3,12.5
609964,94.4,7.5
609966,95.3,8.5
609967,95.2,6.7
609968,93.9,14.2
609969,94.2,17.9
609971,93.0,8.7
609972,96.2,23.4
609973,96.6,2.8
609974,96.9,1.2
609975,92.9,30.8
609976,95.6,55.6
609977,93.9,12.4
609978,92.1,90.0
609979,96.6,11.3
609981,92.1,25.5
609983,95.4,48.8
609985,93.8,13.4
609986,89.2,80.6
609987,91.2,61.8
609988,95.1,4.3
609989,92.8,10.3
609990,95.3,12.7
609991,90.8,23.9
609993,95.5,10.4
609994,96.5,3.0
609995,95.1,3.7
609996,94.9,4.7
609997,87.0,139.8
610000,96.0,7.7
610002,94.8,0.0
610003,93.6,46.9
610004,94.1,36.9
610005,94.4,0.0
610006,95.4,12.2
610009,95.0,3.1
610010,94.7,19.9
610011,95.7,8.1
610012,88.9,16.0
610013,96.0,9.4
610015,96.4,5.3
610016,96.3,12.0
610017,96.8,19.4
610018,91.4,3.4
610019,94.8,8.2
610020,91.9,39.6
610021,92.0,47.1
610022,96.0,15.6
610023,92.4,17.7
610024,96.3,3.2
610026,95.4,14.9
610027,94.7,23.4
610028,90.1,31.2
610029,94.8,0.9
610030,92.0,55.6
610031,94.1,14.3
610032,93.9,20.1
610033,96.8,7.0
610034,91.0,18.8
610036,91.8,37.7
610037,90.8,21.6
610038,96.0,2.0
610039,95.8,1.8
610040,96.2,0.0
610041,95.5,2.2
610043,95.4,16.1
610044,93.2,11.2
610045,90.7,14.0
610046,95.9,3.7
610047,94.9,12.4
610048,91.0,44.0
610051,93.4,2.2
610052,92.6,44.4
610053,93.1,64.6
610054,95.7,5.4
610055,93.3,39.4
610056,92.4,31.0
610057,93.4,43.4
610058,91.9,40.0
610059,95.0,11.4
610060,97.4,0.7
610061,95.3,26.0
610062,93.2,7.8
610063,95.9,4.7
610065,88.0,95.7
610066,96.2,0.0
610067,93.5,9.1
610068,95.0,24.4
610070,96.5,1.2
610072,92.0,10.0
610073,95.5,12.2
610074,95.1,22.1
610075,80.4,251.6
610076,93.0,45.5
610077,93.4,19.6
610078,96.2,3.0
610081,96.8,1.3
610082,96.0,2.9
610083,91.9,0.0
610084,97.5,4.9
610085,80.2,58.3
610086,93.3,76.6
610087,80.2,0.8
610088,95.2,3.6
610089,95.6,1.9
610090,95.6,3.5
610091,93.8,35.6
610092,95.1,27.9
610093,88.9,5.0
610094,95.5,5.3
610095,95.1,2.1
610096,95.6,9.4
610097,95.6,3.5
610098,94.6,24.8
610099,95.5,0.3
610100,93.7,16.3
610101,95.1,4.5
610102,94.4,25.4
610103,92.1,24.6
610104,95.7,6.9
610105,96.5,2.3
610106,90.6,65.8
610107,95.5,3.2
610108,89.2,26.7
610109,96.9,1.2
610110,93.2,9.5
610111,96.3,12.8
610112,91.9,39.0
610114,90.6,20.7
610115,94.9,16.6
610116,89.8,90.7
610117,95.0,5.0
610119,95.2,7.6
610120,96.3,1.2
610121,95.6,15.1
610122,96.7,5.8
610123,91.8,5.7
610124,96.1,3.1
610125,95.5,15.9
610126,95.5,19.2
610127,95.5,10.3
610128,94.0,20.5
610129,95.8,5.1
610130,93.5,20.8
610131,96.9,0.6
610132,97.6,0.0
610133,92.9,3.9
610134,91.6,54.2
610135,94.2,3.7
610136,93.5,73.9
610137,95.4,23.4
610138,96.1,1.7
610139,93.5,14.6
610141,94.9,8.1
610142,95.1,6.7
610143,93.5,37.2
610144,97.0,8.7
610145,95.8,8.2
610146,92.4,33.3
610147,96.4,3.0
610148,95.1,11.1
610150,88.9,64.1
610152,93.9,30.9
610153,93.0,22.5
610154,95.5,95.1
610155,96.3,1.5
610156,92.6,83.4
610157,96.8,7.4
610158,96.2,2.6
610159,95.9,8.0
610160,89.5,84.7
610161,94.2,31.2
610163,72.4,0.0
610165,95.8,2.1
610167,95.7,14.4
610169,90.5,8.6
610170,95.4,8.9
610171,92.8,11.8
610172,92.3,230.6
610173,92.0,3.9
610174,97.0,13.9
610175,94.7,0.3
610176,93.2,40.8
610177,97.1,0.0
610178,92.1,67.1
610179,95.5,4.9
610180,92.4,20.1
610182,95.8,0.8
610183,92.5,24.1
610184,96.2,5.9
610185,95.7,2.3
610187,95.2,77.0
610188,94.6,22.8
610189,94.9,11.0
610191,96.4,1.9
610192,93.8,13.7
610193,90.3,27.3
610194,93.9,12.3
610195,95.6,6.8
610196,96.3,6.0
610197,95.8,3.2
610198,95.1,16.6
610199,95.9,23.4
610200,91.8,45.4
610201,96.4,25.8
610202,91.4,65.5
610203,95.8,2.1
610205,94.3,17.8
610206,96.3,5.3
610207,97.2,0.3
610208,91.5,39.1
610209,96.4,22.5
610210,92.5,185.5
610212,97.0,2.3
610213,92.2,8.0
610215,95.1,7.1
610216,95.1,2.9
610217,97.8,1.3
610218,95.0,21.6
610219,95.5,5.6
610220,96.1,0.4
610221,94.8,5.7
610223,91.6,73.8
610224,91.2,7.6
610225,92.4,11.1
610226,95.8,3.7
610227,95.8,11.6
610228,94.9,3.8
610229,94.6,36.5
610230,96.2,1.0
610231,94.7,9.2
610232,91.6,17.0
610233,89.7,67.2
610234,93.7,5.6
610235,94.3,3.0
610237,93.7,11.4
610238,91.7,18.8
610239,94.9,44.2
610240,90.9,13.2
610241,91.5,58.8
610242,96.5,13.7
610243,95.9,4.6
610244,79.1,24.4
610245,79.2,28.0
610246,95.0,10.3
610248,96.3,6.0
610249,96.2,9.2
610250,95.1,44.6
610251,94.9,29.5
610252,94.4,6.9
610253,90.5,113.5
610254,94.2,4.4
610256,90.5,47.9
610257,93.6,73.9
610258,90.0,156.6
610263,94.1,28.2
610264,92.4,75.5
610265,91.3,26.9
610266,92.5,38.4
610268,87.9,41.6
