School_ID,Teachers_Icon,Teachers_Score,Average_Teacher_Attendance
400018,NDA,NDA,0.0
609674,Weak,39,94.6
609676,Average,49,96.0
609678,NDA,NDA,95.3
609679,Average,44,94.4
609680,NDA,NDA,96.1
609682,Weak,34,95.7
609691,NDA,NDA,95.6
609692,NDA,NDA,94.3
609693,Strong,71,96.8
609694,Average,42,95.9
609695,Average,41,95.9
609698,NDA,NDA,94.3
609702,NDA,NDA,93.9
609704,NDA,NDA,95.2
609705,Average,42,95.4
609707,NDA,NDA,94.7
609708,NDA,NDA,94.8
609709,Weak,35,94.0
609710,NDA,NDA,94.4
609711,Weak,31,94.7
609712,Average,50,95.4
609713,Average,41,94.2
609715,Average,57,95.3
609716,Average,43,94.5
609718,Weak,24,94.7
609719,NDA,NDA,96.2
609720,NDA,NDA,96.2
609722,Weak,32,95.4
609723,Average,42,95.8
609724,Average,56,96.5
609725,NDA,NDA,94.6
609726,NDA,NDA,95.2
609727,Strong,79,96.1
609728,NDA,NDA,96.1
609729,Weak,31,96.0
609730,NDA,NDA,96.4
609732,Weak,32,96.2
609733,Weak,33,95.8
609734,NDA,NDA,96.1
609735,Weak,35,95.2
609736,Weak,25,93.5
609737,Weak,29,95.6
609738,Average,45,96.0
609739,Average,46,95.1
609740,Average,49,96.2
609741,NDA,NDA,96.4
609744,Very Strong,84,95.6
609745,Strong,60,95.2
609746,NDA,NDA,95.3
609749,NDA,NDA,96.8
609751,NDA,NDA,96.3
609753,Average,40,95.2
609754,NDA,NDA,95.6
609755,Average,46,94.9
609756,Weak,39,95.0
609759,Weak,25,94.2
609760,NDA,NDA,96.4
609761,Average,54,95.2
609762,Average,51,94.2
609764,Average,48,95.8
609766,Strong,69,95.5
609768,Weak,35,94.3
609769,Average,52,94.3
609772,Average,44,96.8
609773,NDA,NDA,96.8
609774,Average,57,97.1
609775,Weak,35,95.5
609777,NDA,NDA,95.8
609779,Average,45,96.3
609780,Weak,26,96.0
609781,Very Strong,85,93.5
609782,Strong,65,96.7
609786,Very Weak,16,96.4
609788,NDA,NDA,95.0
609789,Average,41,96.1
609790,Average,59,96.4
609791,Average,42,96.4
609792,Weak,34,96.7
